Player,Team,Date announced,Drug,Penalty,Position,Response,Ref.
Lino Urdaneta,New York Mets,5/16/2007,,50 games,P,,[98]
Ángel Salomé,Milwaukee Brewers,7/24/2007,,50 games,C,,[99]
Ryan Jorgensen,Cincinnati Reds,9/7/2007,,50 games,C,,[100]
Luther Hackman,Texas Rangers,10/30/2007,,50 games,P,,[101]
Jordan Schafer,Atlanta Braves,4/8/2008,,50 games,OF,,[102]
Humberto Cota,Colorado Rockies,5/28/2008,,50 games,C,,[103]
Jorge Sosa,Seattle Mariners,8/21/2008,,50 games,P,,[104]
Runelvys Hernández,Houston Astros,9/6/2008,,50 games,P,,[105]
Henry Owens,Florida Marlins,11/11/2008,,50 games,P,,[106]
Sergio Mitre,New York Yankees[A],1/6/2009,,50 games,P,,[107]
Pablo Ozuna,Philadelphia Phillies,6/11/2009,,50 games,UT,,[108]
Prentice Redman,Los Angeles Dodgers,6/25/2010,,50 games,OF,,[109]
Pedro López,Washington Nationals,7/27/2010,,50 games,SS,,[110]
Prentice Redman,Los Angeles Dodgers,7/27/2010,,100 games,OF,,[110]
Omar Quintanilla,Colorado Rockies,8/11/2010,,50 games,UT,,[111]
Matt Kinney,San Francisco Giants,8/24/2010,,50 games,P,,[112]
Kevin Frandsen,Philadelphia Phillies,5/11/2011,,50 games,3B,,[113]
Daniel McCutchen,Baltimore Orioles,4/6/2013,,50 games,P,,[114]
Jordany Valdespin,New York Mets,8/5/2013,,50 games,OF,[as],[115]
Jesús Montero,Seattle Mariners,8/5/2013,,50 games,C,[at],[116]
Sergio Escalona,Houston Astros,8/5/2013,,50 games,P,[au],[117]
Fernando Martínez,New York Yankees,8/5/2013,,50 games,OF,,[118]
Álex Colomé,Tampa Bay Rays,3/24/2014,,50 games,P,[av],[119]
Arodys Vizcaíno,Atlanta Braves,4/2/2015,,80 games,P,[aw],[120]
Javy Guerra,Chicago White Sox,7/8/2015,,50 games,P,[ax],[121]
César Puello,New York Mets,8/5/2013,,50 games,OF,[ay],[122]
Fautino de los Santos,Free agent,8/5/2013,,50 games,P,,[123]
Jordan Norberto,Free agent,8/5/2013,,50 games,P,,[124]
Ryan Baker,New York Yankees,12/4/2013,,50 games,C,,[125]
Martire Garcia,Texas Rangers,4/10/2014,,50 games,P,,[126]
Ji-man Choi,Seattle Mariners,4/17/2014,,50 games,1B,[az],[127]
Eddie Gamboa,Baltimore Orioles,6/13/2014,,50 games,P,,[128]
Moises Cedeno,New York Yankees,3/19/2015,,72 games,,,[129]
Cody Stanley,Free agent,7/8/2016,,162 games,C,,[130]
